#
# Data for KIT107 Assignment 2
#
# Number of Candidates
7
# Electorate
Lower Whistle-Bottom
# Ballots
Anita BATH,Al BEBACK,Terry BULL,Stan STILL,Justin TIME,Paige TURNER,Ella VATER
Al BEBACK,Terry BULL,Anita BATH,Paige TURNER,Stan STILL,Justin TIME,Ella VATER
Anita BATH,Stan STILL,Ella VATER,Al BEBACK,Terry BULL,Paige TURNER,Justin TIME
Paige TURNER,Justin TIME,Ella VATER,Stan STILL,Terry BULL,Anita BATH,Al BEBACK
Stan STILL,Al BEBACK,Ella VATER,Anita BATH,Paige TURNER,Terry BULL,Justin TIME
Ella VATER,Terry BULL,Stan STILL,Al BEBACK,Anita BATH,Paige TURNER,Justin TIME
Ella VATER,Anita BATH,Justin TIME,Terry BULL,Stan STILL,Paige TURNER,Al BEBACK
Al BEBACK,Justin TIME,Anita BATH,Ella VATER,Stan STILL,Paige TURNER,Terry BULL
Al BEBACK,Terry BULL,Paige TURNER,Ella VATER,Stan STILL,Anita BATH,Justin TIME
Ella VATER,Al BEBACK,Paige TURNER,Terry BULL,Stan STILL,Anita BATH,Justin TIME
Stan STILL,Justin TIME,Ella VATER,Anita BATH,Terry BULL,Paige TURNER,Al BEBACK
Paige TURNER,Stan STILL,Al BEBACK,Anita BATH,Justin TIME,Ella VATER,Terry BULL
Terry BULL,Paige TURNER,Anita BATH,Al BEBACK,Stan STILL,Ella VATER,Justin TIME
Ella VATER,Paige TURNER,Terry BULL,Al BEBACK,Justin TIME,Stan STILL,Anita BATH
Anita BATH,Terry BULL,Paige TURNER,Stan STILL,Ella VATER,Al BEBACK,Justin TIME
Justin TIME,Stan STILL,Paige TURNER,Anita BATH,Al BEBACK,Ella VATER,Terry BULL
Paige TURNER,Ella VATER,Justin TIME,Terry BULL,Stan STILL,Al BEBACK,Anita BATH
Stan STILL,Ella VATER,Anita BATH,Justin TIME,Terry BULL,Al BEBACK,Paige TURNER
Al BEBACK,Stan STILL,Ella VATER,Anita BATH,Justin TIME,Terry BULL,Paige TURNER
Ella VATER,Terry BULL,Al BEBACK,Stan STILL,Paige TURNER,Justin TIME,Anita BATH
Stan STILL,Justin TIME,Paige TURNER,Ella VATER,Al BEBACK,Anita BATH,Terry BULL
Al BEBACK,Terry BULL,Anita BATH,Paige TURNER,Ella VATER,Justin TIME,Stan STILL
Anita BATH,Ella VATER,Paige TURNER,Stan STILL,Al BEBACK,Justin TIME,Terry BULL
Stan STILL,Paige TURNER,Al BEBACK,Terry BULL,Ella VATER,Anita BATH,Justin TIME
Paige TURNER,Justin TIME,Terry BULL,Ella VATER,Stan STILL,Al BEBACK,Anita BATH
Paige TURNER,Terry BULL,Ella VATER,Stan STILL,Al BEBACK,Anita BATH,Justin TIME
Terry BULL,Stan STILL,Justin TIME,Ella VATER,Paige TURNER,Anita BATH,Al BEBACK
Anita BATH,Stan STILL,Justin TIME,Paige TURNER,Terry BULL,Ella VATER,Al BEBACK
Justin TIME,Ella VATER,Paige TURNER,Terry BULL,Stan STILL,Al BEBACK,Anita BATH
Al BEBACK,Anita BATH,Stan STILL,Justin TIME,Terry BULL,Ella VATER,Paige TURNER
Anita BATH,Al BEBACK,Ella VATER,Justin TIME,Paige TURNER,Terry BULL,Stan STILL
Al BEBACK,Stan STILL,Terry BULL,Anita BATH,Paige TURNER,Ella VATER,Justin TIME
Anita BATH,Terry BULL,Al BEBACK,Justin TIME,Ella VATER,Stan STILL,Paige TURNER
Paige TURNER,Al BEBACK,Ella VATER,Anita BATH,Stan STILL,Terry BULL,Justin TIME
Al BEBACK,Stan STILL,Anita BATH,Justin TIME,Terry BULL,Paige TURNER,Ella VATER
Anita BATH,Paige TURNER,Ella VATER,Terry BULL,Justin TIME,Stan STILL,Al BEBACK
Paige TURNER,Ella VATER,Anita BATH,Al BEBACK,Terry BULL,Stan STILL,Justin TIME
Terry BULL,Ella VATER,Al BEBACK,Stan STILL,Justin TIME,Paige TURNER,Anita BATH
Al BEBACK,Stan STILL,Anita BATH,Paige TURNER,Terry BULL,Justin TIME,Ella VATER
Justin TIME,Paige TURNER,Terry BULL,Ella VATER,Al BEBACK,Stan STILL,Anita BATH
Terry BULL,Justin TIME,Al BEBACK,Paige TURNER,Ella VATER,Anita BATH,Stan STILL
Stan STILL,Terry BULL,Al BEBACK,Ella VATER,Paige TURNER,Justin TIME,Anita BATH
Al BEBACK,Anita BATH,Ella VATER,Paige TURNER,Terry BULL,Stan STILL,Justin TIME
Al BEBACK,Anita BATH,Stan STILL,Terry BULL,Justin TIME,Paige TURNER,Ella VATER
Stan STILL,Al BEBACK,Ella VATER,Justin TIME,Paige TURNER,Terry BULL,Anita BATH
Al BEBACK,Justin TIME,Ella VATER,Terry BULL,Anita BATH,Stan STILL,Paige TURNER
Ella VATER,Paige TURNER,Al BEBACK,Anita BATH,Justin TIME,Stan STILL,Terry BULL
Paige TURNER,Al BEBACK,Ella VATER,Terry BULL,Stan STILL,Justin TIME,Anita BATH
Justin TIME,Ella VATER,Paige TURNER,Al BEBACK,Anita BATH,Stan STILL,Terry BULL
Stan STILL,Ella VATER,Paige TURNER,Anita BATH,Terry BULL,Al BEBACK,Justin TIME
